ID,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
GPR24,-54.4,-47.4,-52.4,-60.8,-72.3,-66,-90.5,-55.2,-91.3,-96.7
RBP3,148.4,99.8,150.5,111.6,160.3,83.5,121.2,123.5,116.2,134.7
TERF1,60.4,55.8,41.2,84.4,53.7,100.5,72.9,100.5,77.4,71.2
DSIPI,1071.5,804.9,965.2,514.4,857.9,806.2,795.2,462.8,1222.1,991.4
RBBP5,66.8,66.8,78.2,53.4,76.7,81.7,65.9,24.3,86.2,74.3
SLC6A12,9.9,0.8,29,-28.5,78.2,6.4,-13.7,-1,14.2,-27.3
JAK3,433.5,481.5,639.6,412.3,392.5,448.8,369.1,505.2,391.2,557.5
OPRL1,-111,-147,-128.9,-100.8,-122.8,-98.2,-176.9,-133.7,-144.2,-111.7
PLGL,0,9,-12.5,-39.1,-107,-25,-50.1,-20.1,-12.2,-33.6
CAPN4,1873.5,2446.7,2430.8,2504.5,2428.4,2463,2531.7,1880.6,2088.3,2545.9
CD36,459.3,113.8,281.8,531.9,265.9,411.8,673.9,295,586.9,714.4
SFRS1,174,144,103,115.3,89,189,145.8,42.4,197.5,77.4
C3,5837.7,6577.3,6222.9,4552.8,5304.3,9406,7393.2,7659.2,5408.5,5515.5
FGF1,23.9,94,67.6,51,76.7,117.2,130,118.9,117.1,64
E2F4,201,169.4,56.4,133.5,150.5,220.2,114.7,175.1,146.6,87
DSP,114.7,139.6,22.7,74.3,72.8,1.3,108.8,94,-9.5,108
BMPR1B,87,57,77.4,51,36.7,70.2,45,108,59.7,53.9
PIGA,80,97,150.5,219.2,288.9,104.7,277.3,125.4,201.7,84
HUMAGCGB,274.2,295.2,350.4,398.4,447,371.8,324.2,397.7,331.7,441.8
SECTM1,450.5,1077.8,459.7,552.4,427.7,1350.2,572.4,838.8,769.6,896.3
ADAM10,127,143.1,119.8,215.4,141.2,166,115.5,151.5,226,179.1
EFNA3,158,98.9,72.8,79,55.3,65,87.1,93,181.5,84
ST14,143,180,138.6,97,90,93.6,90.7,114.4,89.8,92.4
CNN3,670.9,774.7,906.8,635,655.3,777.8,900.1,700.2,565.2,830.8
PTPN2,28.6,49.4,47,16.8,18.5,53.4,54.9,39,-5.2,32
PIK3CD,-11,106.2,-1.7,5.2,140.3,59.7,80.8,52.6,36,-6.2
C4A,1564.4,1194.5,978.8,654.6,1368.7,1951,977.6,1345.3,798.7,989.9
OPN1MW,-57.3,-41.7,21.8,-30.6,-74.4,-130.5,-104.9,-144.6,-119.6,-151.5
IFRD2,272.4,306.6,254,238.2,232,336.5,249.8,228.7,220,220.9
HAB1,39,27.7,6.3,-4.6,21.7,17.7,-0.6,35.5,9,52.6
SCA1,439.5,473.7,383.9,342.5,373.1,378,370.5,424.6,374.7,440.2
NKX3A,9.9,-24.2,-2.3,7.5,23.1,-10,14.8,6.3,16,20.3
HUMAUANTIG,178,145.1,139.7,185,107.1,210.7,227.2,196.7,183.4,155.8
PPP2R2B,31.1,0,16.7,-6.1,40,-43.8,-5.3,3,-4.6,-1
PCCB,158,249.7,90,163,210.5,287,172.1,121.7,148.4,131.2
ACAA1,403.4,557,355.9,517.2,568.6,606,572.4,452.8,401.9,386.6
NME3,490,402.1,451.5,367.5,306.8,350.6,424.9,405.4,405.2,390.2
GART,77.2,69.4,53.9,66,99.8,78.2,94.4,113.5,65.9,77.4
PDK1,24.6,39,18.1,-9.2,23.9,4.7,0.6,-6.5,23.9,-18.5
ACO2,667.3,908.1,592.4,536.8,811.6,673.9,629.3,649.1,450.5,739.7
CTNNA1,667.3,834.6,787.9,837.2,929.5,815.4,928.8,879,947.9,1012.9
BAIAP1,81,48.5,84,19.3,20.2,42.8,55.6,32.9,55.9,83
AQP2,831.9,551.6,632.5,492.6,489.2,579.6,429.3,502.4,558.5,598.6
CASP2,-120.6,-169.2,-128.9,-155.6,-198.6,-131.5,-162.5,-151.2,-157.6,-102.5
IFNB1,22.4,1.5,22.7,3,37.8,15,-11.2,-1,13.4,-27.3
HMGCS1,80,-1.5,97,39.9,0.4,65,95.3,27.7,58.8,103.5
GRB10,524.7,310.8,824.7,418.3,427,432.8,578,435.2,563.3,559.4
AKR1C1,800,507.2,439,534.7,560.5,355.9,1434.2,1299.9,577.5,792
HPCAL1,43,78.1,14,100.2,190,33.2,231.3,104.7,68.5,93.6
HSU79275,296.3,131.8,263,215.4,195.3,285,243.8,241.1,418.8,348.7
DAP,403.4,542.7,423.8,501.9,499.4,514,458.8,507.9,345.6,411
CGR11,-98.6,44,-17.6,-26.4,9.8,34.3,-8.8,-3,-60.2,-40.7
SFTPC,18494.3,10531.5,19138.2,12173.8,24791.9,19795.1,25050.6,16465.8,14651.8,32421.6
CPN1,22.4,13,-1,0.4,16.8,44.2,-19.8,-57.6,25.3,9
SPN,28.6,44,12,26,82.6,18.5,35.5,63.2,72,71.2
HABP2,33.2,24.6,85,31.1,-3,17.7,0.6,50,23.1,42.4
GPR6,50.4,57,40.5,23.5,43,90.2,41,25.2,13.4,22.4
HOXB2,340.7,283.4,347.1,284.7,336.4,250.6,235.5,287.2,275,311
JUND,4193.5,4592.2,8925.8,6508.7,8984.7,4621.4,7833.1,6146.5,7550.6,6372.3
MAP2K4,158,189,126.3,186,167.1,146.8,178.7,128.2,185.3,166
NET1,213,224.9,238,190.9,167.1,303.9,130,117.1,177.8,179.1
DHFR,101,89,81,108,93,130,84.4,53.9,61.4,55.8
GLRA1,-14,-26.4,12,26.9,2.1,-42.7,-12.4,9,36,27.2
EPHX1,874.2,626.3,784.9,638,1036.9,816.3,963.9,566.9,1041.3,1123.3
H2AFL,120,36.7,66.8,160,84.4,96.9,198,169.3,108,132.3
PSME1,2353.6,3113.8,2035.4,1814.7,1864.8,3676.6,2012.4,1837.8,2080.8,2127.9
MAP2K6,-21,-78.2,3.7,-82.9,-7.2,-8,-25.1,-56.4,30.5,3.9
RPS16,7581,10025.1,7795.3,10634.8,6775.5,10328.2,9717.1,7905.2,9905.5,8227.3
SPAG8,-31.8,-30.6,-21,6.8,-36,-61.6,-33.3,-21,-1.9,-15.1
FLT3,-17,-40.3,-24.2,-34.9,-76.5,-14.6,-64.2,-83.5,-45.2,-93.4
CYP2A7,138,91,108,94,98,137.5,5.4,92,113.5,91.3
ABCG1,168.3,234.4,194.4,228.7,214.1,142.9,324.9,221.2,190,232.6
FNTA,238.6,284.2,139.7,247.2,231,389,379.9,224,367.2,303
CA5A,-35.2,-68.2,-62.4,-25.3,-62.5,-46,7.8,-37.2,20.3,-52.9
MEL,247.4,317,112.5,137,240,258.2,138.6,128.2,183.4,214.5
FMOD,718,647.2,1109.3,827.6,727.7,697.3,885.7,902,910.5,757.7
PTN,237.4,190,189.1,213.6,277,221.1,289.6,184.7,347.2,148.3
RPS9,7759.7,6329.4,7127.4,5887.3,6685.5,7463.3,6899.7,6744.3,6959.1,8216
SLPI,6978.4,7064.9,6574.7,4017.6,9479,6793.9,9128.3,4442,9433,13874.9
RPL21,5764.2,4393.3,4742.4,4365.4,4546.3,4228.7,5441.9,5119.2,5263.1,4830.7
RALA,167.1,163.7,100.5,211.7,190,148.7,294.3,91,234,148.3
TUB,785,586.8,787.9,444.3,548.4,642.9,430.6,614,840.9,679.7
GGT1,541,439.1,730.4,495.2,924.5,386.1,620.4,607.8,1043.6,1621.3
SCA2,351.8,305.6,287.1,395.6,482.3,347.1,492.5,389.9,385.4,427.5
TGFB2,63.9,57,60.4,53.4,52,21,99.7,45,48.5,46
PLCG2,361.1,323.7,327.6,193.6,286.2,274,289.6,314,256.2,203.3
RNASE1,5827.1,4690.6,5525.6,6155.8,6512.5,6391.6,6646.9,5143.9,6067.7,9109.2
STXBP2,360.3,317,479.7,419.7,439,432.8,452.5,320.8,384.6,395.2
HBACH,125,370.3,182.5,216.4,320.9,312.3,126.8,231.6,139.7,148.3
VAMP1,123,129,117.1,39,72.8,59.7,65.9,38.1,52,56.4
CLN3,212,321.2,187.2,308.3,388.5,269,364.4,124.5,187.2,281.6
MAP3K14,133,128,22.7,120.6,135.6,85.3,60,-2.3,-13.7,26
ELA3,365.7,253.5,294.2,255.7,309.3,201.1,249.8,300,317,288
KRT10,426,279.6,278.3,411,360.6,268,428.7,394.9,467.2,368.5
ACVR1,199,190,116.2,188,225,188,181.5,141.8,212,244.9
RBM6,72,85.8,118,63.9,49,104.7,88.9,50,94.4,114.9
MYO1C,280.6,451.3,362.2,448.8,327.7,232.6,285.7,334.8,287,279.7
FKBP1A,52,-10,5.7,28.6,35.5,41.2,49.7,52.6,102.2,53.2
AKAP9,-3,-28.5,34.3,-4.6,40,16,-36,-3.7,26,7.3
IGFALS,263.2,369.5,299.4,312.2,218.5,303.9,153.6,355.9,305,223.9
GRIA1,54.9,18.5,101.8,0.4,51,80.8,55.6,59.7,123,59
NCF4,176,249.7,239,287.2,289.7,303,306,303,286,268.7
ENIGMA,306.6,301.5,769.4,432.3,307.6,344.5,394.2,435.8,262.4,289
TOP3A,162.6,58,91,56.3,76.7,108,73.8,75.5,87.1,139.3
CAPN1,624.7,695.1,468.8,819.2,630.9,640.4,606.8,602.4,499.6,669.5
SSTR3,254.4,186,277.4,186,185.7,182,195.3,206.9,282,278.8
CA3,162.6,80.1,154.8,47,154.3,52.7,302.9,119.8,87.1,72.8
FOS,1235.8,928.8,8790,5162.3,4946.5,1305.1,6667.7,2024.6,2836.1,3106.1
PCCA,341.6,327.1,293.2,197.1,317,233.4,298.2,267.5,383,308
GSTM4,471.6,525.3,657.2,254,276,707.3,474.3,546.6,613.5,317
LAMR1,8811,7759,7055.1,9115.5,6910.8,8631.2,7715.3,7446.5,8174.4,6745
BMP4,406.8,421.5,515.2,428.3,403.8,462.5,312.3,357.7,366.3,458.5
CYP11B1,26,-3,18.1,-3.8,-4.4,-19.2,13.7,-3,33,-45.4
HLA-B,-135.9,-185.9,-170.6,-201.9,-113.4,-122.2,-97.7,-87.8,-28.5,-115.8
FRG1,234.1,337.9,240,252.3,226,279,256.5,186.8,243.9,255.4
ASS,667.3,389.6,762.6,712.2,547.6,618.8,618,644.3,538,500.1
BMP6,-74.6,91,51,102.4,104.4,50,99.7,81.2,82.6,71.2
CA1,-5.5,-8.4,21,19.3,-0.4,35.5,-12.4,-33.7,-3,16
LTBP1,628.3,343.8,999.1,433,303.4,321.4,653.4,662.7,469.8,364.1
DPP4,52.7,107.1,7,60.4,108,170,81.7,97,48.5,40.7
PACE4,109.7,151.5,234,154.5,204.2,196.3,144,253.2,203.9,125.4
CDH4,156.2,102.5,129.1,118,79.9,137.5,93.5,103,96.2,165
DXS1357E,2874.1,2757.3,2699.4,2651.3,3099.3,2244.2,2080.2,2521.5,2650.1,2469.1
EGR3,45.8,13,180.6,169,211.4,49,358.2,525.5,169.4,100.7
APOC2,400,228.7,403.7,974.4,427.7,160,489.7,240.1,98.8,160
FOXG1B,-5.5,16,-7.4,-29.6,-12,35.5,-30.5,-4.4,27.5,-5.5
PROZ,65.9,42,190,139.3,105.3,140.8,100.5,160.8,138.6,72.8
KCNK1,125,52.6,86,99.1,92,79.9,129.2,100.5,99.7,115.7
FUT5,207,162.6,165.5,117.1,162.6,109.5,120.4,158,172.9,192.7
GSTP1,4120.8,4202.6,3382.9,4561.1,4698,3954.8,3940.6,3991.6,5031.6,5809.9
SCYA22,461,404.8,415,408.9,396.5,452.5,302.9,446.4,462.8,436.5
OR3A1,72,86.9,120.8,54.1,45,85.3,23,119.8,92.5,106.2
TXN,2379.2,3278.1,1619.8,2088.1,2309.7,3505.9,2088.1,2074.6,1895.1,2163.8
C6ORF32,114.7,55.1,49,90,7,104.7,96.2,43.3,36,101.6
LYZ,2995.6,3548.9,1826,2151.7,3006.5,2391.4,2769.2,3346.5,1962.8,2602.3
RPL30,12633.4,10958.1,14461.9,14254,13155.6,14759.2,13040.9,12892.2,15727.7,14636
LCK,58.1,81.2,72.8,30.3,98.9,61,18.5,77.2,90.7,57
TTK,9,42,37.8,61.6,24.6,54.1,50.8,75.5,64.1,62
CCND1,-77.5,-9.2,-97.8,-36,50,-24,-6.5,-17.3,-14.4,-17.6
DUT,491.7,413,527.3,421.7,573.5,463.4,386.4,483.7,581.3,561.2
MEIS3,108.8,106.2,147.2,92,86.2,93.6,144.9,116.2,93.5,89.1
MAGEA8,54.9,9,-2.3,-26.4,1.3,6.4,29.6,31.1,22.4,14
TPM2,1279.4,981.8,2028,1183.5,765.9,1532.3,1479.8,1401.5,1508.5,888
CLCN7,217,178,187.2,118,209.6,174,190,124.5,199.6,67.3
2.19,194,124,122.6,250.6,265.9,198.3,299,108,79,238.7
PCTK3,42,-14.6,-21.8,-10,68.5,-3,37.8,-11.8,41.6,11
CBLB,770,456.5,383.9,379.4,492.7,537.3,338.5,453.7,437.1,242.1
INHBA,-0.8,-1.5,47,6.8,49,-35,20.2,70.4,15.1,47
FBLN1,230.8,143.1,204.2,198,199.8,104.7,93.5,197.6,235,252.6
LOC56902,15.1,39,29,46,-5.8,13,45,46,39,12
LY117,444.8,1419.5,451.5,838.6,1213.8,1094.5,802,937.9,883.5,444.8
EIF2S1,325.2,373.4,260,425.7,299.1,426.9,366.4,391.3,292,398.8
GJB1,109.7,119,154.8,144,136.5,125.2,126,123.5,161.4,173
ZNF22,113,125,121.7,90,86.2,111.8,142.9,113.5,142.9,84
IFIT1,271.4,275.7,324.1,111.6,383.6,509,412.3,390.6,422.3,520.4
ATOX1,1020.1,1082.3,755.7,925.9,814.4,1028.8,837.1,917.4,845.2,750.5
OAS1,236.3,414.9,98,-10.9,443,549.3,116.3,176.1,73.6,167
RPS19,10760.6,12272.4,10534.8,13110.4,9787.4,10134.8,9992.4,11093.2,9043.8,8180.4
TNFAIP3,759,1363.2,793.7,1247.4,1584.1,932.5,1084.9,1152.2,1449.8,590.2
CYP2F1,429.8,353.4,427,357.8,341.2,350.6,240.5,352.4,409.4,372.1
GP5,73.8,27.7,3,48,32,37.8,23,46,18.1,51
MEF2C,417.8,448.7,420.6,435,374.5,403.7,436.9,526.2,423,429.8
PMX1,468.9,606.3,408.8,559.7,449.6,526.7,449.7,677.9,428.6,439.5
PKD1,631.1,442.4,869.5,448.8,491,514.7,616.4,586.4,557.6,585.5
HSF4,283.4,339.6,334.7,309.3,272.4,248.1,221.5,319.8,259.7,298
CBS,45.8,14,94,27.7,176.1,45,158,59.7,56.4,138.2
NEK2,34.3,23.9,-1,60.4,-2.1,42,34.3,28.6,1.9,40.7
APOA1,-31,-33.9,-3,22.7,-16,25.2,-1.8,-10.9,15.1,52.6
CRKL,-4.9,-5.3,32,-18.2,11.3,-11.8,-11.2,18.5,8.1,16
COL5A2,1259.7,938.8,1115.3,2169.2,684.6,431.9,830.3,1165.9,637.8,434.2
CASP3,183,232.5,169.7,241.1,190,233.4,185.3,214.1,220,135.8
UGT2B4,-2.2,7.3,-24.9,16,39,-13.7,22,7.7,16.7,9
SUI1,4937.6,3639.9,4819,4813,5101.2,3885.9,5352.4,5024.3,4673.4,5664.1
GAD2,77.2,40,76.7,67,39,72.8,23,48,135.4,69.7
VPS41,8.1,2.2,18.1,31.1,-12,14,16,16.8,58.8,12
KIAA0155,291.1,302.5,310.8,343.4,299.1,380.9,383.8,312,383.8,348.7
HMBS,174,94,136.5,193.6,108.8,144.9,186.2,84.6,126,171
RIN,20.2,-32.8,23.5,-13.7,39,22.7,-7.7,-25.6,5.6,5.6
ARHH,358.8,372.6,201.6,261.6,108.8,284,129.2,206.9,202.8,141.7
EGR2,74.6,182,408.1,323.4,562.1,127.6,467,272.4,186.2,230
CYP2C9,67.6,88,104.2,72,86.2,54.9,64,62.3,106.3,73.6
EDG1,101,113,236,152.8,158,185,196.2,140.8,192.1,243
ADCY8,-21.8,12,0.3,-18.2,-22,-0.4,4.2,18.5,-21,-23.4
SAA1,241.9,267.3,300.4,162,240,188,181.5,300,233,285.2
CRADD,147.5,127,49,36.7,23.1,65,54.1,65,45,52.6
VDUP1,11772.8,11222.6,10037.5,5028.9,7465.1,11345.6,9375.1,8920.6,13343.1,12440.4
ARHGDIG,53.4,93,43.5,73.6,61,114.9,47.3,38.1,75.1,74.3
PMM1,768,710.8,805.4,519.3,925.2,627,938.4,514.7,826.1,801
MLN64,464.5,438.5,520.5,527,516.6,530.9,428.1,418.7,550,426
MNDA,175,408.3,181.5,364.5,427,515.4,633.7,421,456.6,593
IRX4,31.1,64,95,102.4,49,74.3,25,43.3,31.2,83
APACD,271.4,223,274.7,280.6,200.7,278,269.6,211.4,258.8,290
PRSS15,210,243,225,279,240,213.6,261.6,237.3,305,265.9
KCNA5,23.9,65.9,144,67,-6.5,51,17.7,56.4,172.9,101.6
SMTN,241.9,243,415,348.8,248.5,353.3,331.3,359.5,185.3,176.5
H3FL,-1.5,77.2,5.7,45,53.7,52,14.8,79,-6.8,40.7
TFF2,10.8,-28.5,-106.3,-85,-75.5,-154.4,-62.5,-147.9,-126.3,-242.9
HBG2,112.2,83.5,322.3,55.6,362,94.7,63,109.8,42.4,104.4
ADH2,1698,1671.8,2010.7,1017.4,1526.5,2033.4,2405.8,1922.7,2870.9,2291.9
SLC2A3,270.5,322.9,644,1071.7,989.5,538,1470.9,843.9,636.1,727
CDK6,58.1,27.7,40.5,-0.4,15.2,14,54.1,5,-2.5,23.1
HD,726,646.4,754.8,624.2,745.4,658,534,581.1,679.1,791.1
FARSL,414.8,452.2,269.4,413.7,398.1,426.9,344,387.8,351.3,414
TLOC1,422.2,311.8,320.5,276.5,339.3,295.5,363,385.7,307,366.3
KIAA0118,225.2,221.3,366.2,349.5,419,362.1,419.8,333,408.5,408.8
BMPR1A,117.2,37.8,134.3,39,132.8,132.2,145.8,139.7,134.3,179.9
TALDO1,1131.9,1139.6,874.2,1040,1519.7,994.6,966.7,1010.3,907,1007.7
AP2M1,2075.3,2141.7,2437.4,1949.5,1855.4,1877.9,1928.8,1970.6,1511.5,2062.1
HMGIY,457.5,805.8,203.3,921.1,414.3,762.2,382.5,419.3,176.8,287.1
CD72,72,131.8,29.8,87.1,32,95.8,-8.8,13,20.3,23.1
KIAA0182,238.6,164.9,353.5,280.6,310.2,298.3,407.1,192.5,272,448
RPL28,10805.9,10808.1,10174.1,11683.8,10718.5,12308.8,9759.5,9032.8,9966.7,11581.1
SUV39H1,8.1,47.6,9,2.1,54.5,53.4,23,103,39,15
MERTK,449.6,128,222.1,331.6,207.8,117.2,181.5,111.6,153.6,207.1
COPEB,641,524.6,1101.7,965.9,1837,398.5,1484.3,503.1,702,532.1
PCBP2,4187,3943.3,3706.4,3657.7,3540.4,3540.3,3345.7,2933.2,3703.8,4257
HOXC4,16,32,23.5,3,51,-9,-21,26,-76.4,-8.1
SMARCD1,365.7,292.1,347.1,258.2,356.4,258.2,244.7,316,282,367.8
MX2,209,330.4,255,224,331.5,383.9,255.7,301,215,236
ICAM4,238.6,258.3,244,154.5,339.3,199,222.3,154.8,181.5,137
PRX2,416.2,414.3,422.2,301.5,231,412.7,299,396.3,258,315
FEZ1,225.2,227.8,395.6,382.2,351.5,311.4,516.6,360.4,405.2,349.5
MAP7,59.3,27.7,52.6,87.1,98,75.1,89.8,65.8,80.8,75.1
MTAP,62.7,23.9,32,50,52.8,52.7,24,27.7,55.3,21
TBXA2R,52,109.7,170.8,50,58.3,88,103,89,159.1,-18.5
MSX1,4.7,14,46,-17.3,74.3,85.3,83.5,39.9,44.1,51
LOC56904,579,682,648.4,622,691.9,690.6,438.2,725,532,655.4
TRPC1,287.1,136.1,440.6,164,179.3,198.3,348,313,426.5,236
CSNK2B,1580.8,1729.2,1635.7,1643.6,1651.2,1502.6,1261.9,1417.4,1494.6,1452.7
CGB,342.5,375.7,345.3,158,318.9,352.4,262.5,272.4,525.2,227.3
PTHLH,5.6,10,-5.6,52,42,3.9,4.2,59.7,-22.7,6.4
APEX,970.7,1157,1212,1058.3,866.5,1041.8,1150,902,820,984.7
MPG,277.9,191.6,203.3,253.2,226,217.3,180.6,213.2,211,217.7
GAL,36.7,24.6,3.7,-6.1,-56.8,-4,11.3,-3,18.1,5.6
PPP1CB,410.2,423.4,438.2,364.5,412.3,423.6,526.8,357.7,540.6,435
DCTN2,651.9,533.3,704.6,650.3,514.1,611.6,698.8,779.6,602.1,776.7
PTPN11,36.7,43,48,71,52,69.4,54.1,65,36,135.8
TTF1,186,203.6,199.8,214.5,220.3,199,222.3,138.6,251.8,230
ACCN1,30.3,65.9,28.2,-14.6,67.6,44.2,-18.6,98,7.3,-8.7
RPS15,2551.1,1896.3,2426.7,2046.5,2112.6,2088.1,2148.1,2089.6,2619.1,2721.6
IRF5,1251.3,1405.4,1068.6,1036.5,1264.7,1096.6,760.8,1224.2,1292.8,1197.6
ARNTL,75.5,26.9,-1,67,43,46,54.9,65,16,53.2
TGM3,34.3,53.9,-112.6,-69.2,-23,18.5,26,77.2,-32.7,-81.8
OR3A3,156.2,166,231,157.1,182.5,144.9,86.2,94,142.9,192.7
TM9SF2,765,719.7,529.6,671.3,655.3,739.3,732.2,550.9,681.8,818.2
CES1,565.8,725,963.5,499.8,1660.7,577.2,981,681.9,878.3,845.7
CLOCK,285.2,220.4,247,200.7,236,158,379.3,196.7,227,317
SF3A1,180,138.8,197.1,134.7,180.4,108.8,139.7,150.5,150.1,211.3
MYBPH,-45.7,-38.9,-76.6,-91.3,-23,-48.2,3,-58.8,-86.9,-81.8
GRIA2,19.3,84.6,21,16.8,40,24.3,26,16,56.4,48
F2RL2,17.7,8.1,39.8,34.3,39,44.2,13.7,65,56.4,158
ITGB5,468.1,437.2,687.9,578.3,497,373.6,676.8,514,420.9,392.3
SCYB6,21.7,45.9,25.2,100.2,-1.3,3.9,45,44.1,38,17.4
CD19,93,102.5,86,27.7,53.7,3.9,66.8,79,73.6,126.3
LPIN2,383.9,543.5,291.1,366.8,652.9,480.6,410.4,308,418.8,524.3
RPL26,3785.9,3541.5,3534.4,2954.5,2848.3,3088.7,3204.6,3294.6,2747.6,2892.1
AKAP6,70.2,54.5,120.8,86.2,29,75.9,47.3,93,116.2,67.3
FANCC,36.7,76.4,5,73.6,17.7,32,92.5,29.4,4.7,60
SCYA1,23.1,-6.1,18.9,26.9,23.9,29,19.3,17.7,-11.5,6.4
CTSO,169.4,181,72.8,85.3,199.8,203.2,149.2,133.2,226,194.4
NFYC,40,59,17.4,100.2,41,65,75.5,59.7,42.4,94.7
IGF2,374.2,372.6,1299.2,277.3,287.1,497,935.7,1191.8,939.2,409.6
NR1D1,258.8,238.2,260,215.4,213.2,234.3,187.2,223,287,291
TCF3,48.1,81.2,-89.3,-34.9,8,-95.1,58,5,-26.8,10
UQCRB,356.5,392.3,353.5,339.8,341.2,315.1,263.3,330.2,397,278.8
MS4A1,91.3,212.8,416.6,37.8,192.7,138.6,183.4,219.4,166,258.3
BRCA2,21.7,-1.5,56.4,28.6,12.9,39.8,30.8,-1,-6.8,39
SDC1,1488.2,1228.9,1281.9,1441.8,1370.9,1501.9,1189.9,1622.9,1421.7,1698.7
STX16,118,111.3,122.6,72.8,114.7,157.1,68.5,77.2,222,132.3
COL14A1,180,169.4,174.9,129.1,104.4,113.4,64,152.6,99.7,116.5
IL1B,143,53.9,206,1048.4,765.9,322.3,1156.7,1101.5,1201.3,590.2
SALL2,90.5,106.2,166.5,80.8,91,111.8,136.5,68.9,156.2,181.6
IGF1,8.1,29.4,7.7,5.2,-7.2,5.6,7.8,74.6,13.4,10
CALM2,-14,-23.1,-32.1,-39.1,-20,25.2,-53.6,-16.4,-98.8,-28.1
SLC35A2,119,109.7,50,229.7,95,84.4,152.8,120.8,160.3,179.9
COX17,255.3,191.6,180.6,251.5,326.7,270,549.3,265.8,393.7,297
CASP8,325.2,407.4,281.8,270.8,297.4,394.1,302.9,265,178.7,215.6
SORT1,149.2,139.6,190,234.4,259.5,231.7,190.9,140.8,295,230.8
ARF5,897,813.8,1012.7,816.8,925.9,754.9,820,929.4,951.4,793.8
BRD2,586,745.4,671.2,638,900.9,806.2,767.5,624.4,701.1,699.9
HKE4,158,202.8,96,174,136.5,111.1,125.2,164.6,100.5,150.5
NEFL,271.4,274.2,222.1,43.3,268.7,270,56.3,104.7,258.8,213.4
LOC55969,248.3,232.5,222.1,226.8,226,223,238.8,202.6,189.1,181.6
HOXD9,-8.7,-3,-1,6,1.3,-9,17.7,16.8,-11.5,11
ACVR1B,-52.5,-50.3,-24.2,-4.6,-108.1,-21,-11.2,0.3,15.1,16.7
HPR,1675.1,278,525,1133.1,1102.6,1642.6,654.9,2129.3,1177,159
HLA-DOB,468.1,454.8,233,173,199.8,347.1,160.8,339.5,186.2,188.3
HLA-G,-21,89,-92.2,-138.7,87.1,-22,-79,48,-118.1,53.9
MS4A2,464.5,243,-13.4,70,28,54.1,3,62.3,39,-52.9
CNTFR,29.4,44,53.2,39.9,86.2,8.1,3,58.8,25.3,21.7
SPRR2C,236.3,236.3,287.1,175,252.2,259.1,146.6,170.2,214,204.2
PAPOLA,330.7,245.9,231,269.1,222.1,279,196.2,317,360.5,283.4
SERPIND1,37.8,-27.4,-32.8,367.5,57,121.6,63,470.3,-12.2,-12.5
RRM2,-20,30.3,62.7,10.2,2.1,-16.4,6.6,4.3,-21.8,-1
SSX3,27.7,27.7,-1.7,25.2,-11,58.3,21,57.9,16,23.1
LASP1,3273,3821.8,3587.2,3447.1,3408.8,3570.5,2580,3329.2,3083.4,3485
AGTRL2,33.2,-38.9,6.3,-52.6,25.3,39,32,25.2,0.3,15
SETMAR,176,141.4,134.3,128.3,146.8,101.3,186.2,113.5,151,146.2
NCAM1,55.6,54.5,98,85.3,35.5,51,36.7,113.5,54.8,102.5
FLNC,40,68.5,15,50,70.2,-10,65.9,47,16.7,25.3
MAP3K3,127,145.1,109.8,96,180.4,61,177.8,39.9,71.1,121.7
SCYB10,337.1,2353.1,53.2,110.7,40,3504.5,200.7,134.3,66.8,20.3
EDN1,114.7,130,238,167,419,108,523.1,164.6,275,203.3
NKG7,770,483.2,261,431.7,245.8,640.4,325.7,328.3,566.1,500.1
ERP28,843.9,792.5,561.9,603.4,873.7,634.5,671.7,574,520.9,629.1
PTP4A1,461.9,454.8,547.7,708.3,875.8,423.6,648.3,478.7,520.9,515.7
GTF2I,797,757.8,561.9,622,878,786.1,675.4,711.5,766.2,830
CHRNB3,-21,5.6,25.2,-22.1,8,-2.1,-5.3,9,19.6,39.9
CEL,-80.4,-37.4,-14.2,-79.7,-40.6,-104.5,-100.6,-33.7,-61,-79.3
ADCYAP1,348.8,191.6,400,267.5,297.4,236,210.4,346.1,468.9,393.8
UBA52,8368,8374,6681,8335.6,7038.5,7510.4,7680.7,8815.6,6649,7252.4
SSTR1,162.6,202.8,268.5,159,171.7,223,127.6,235.4,218,170
DTNA,-43.7,-14.6,-37.8,-29.6,-62.5,40.5,-36,-5.1,-25.2,-38.8
PHLDA1,54.1,-28.5,-2.3,73.6,68.5,42.8,46.2,11,35,84
SUCLG1,231.9,213.6,90,176,127,292.7,291.1,195.9,222,168
CYP2E,-0.8,9,13,-10,-13,-9,-12.4,-10,1.9,-85.9
H4FG,286.2,263.1,206.9,307.3,235,314.2,241.3,212.3,423.7,327.9
SRM300,10.8,6.4,8.3,53.4,-27,65,21,1,-27.7,18.1
HHCMA56,229.7,227.8,171.9,189,215.8,203.2,112.2,194.2,167.1,215.6
PLAT,218,301.5,598.3,503.3,267.8,245.5,467,454.5,460.2,271.4
PPT1,1340.6,1953,1261.5,1911.8,1683.8,1842.8,1544.9,1305.7,1627.3,1415.9
GNAI2,819,1195.3,848.9,923.9,1022,1124.7,1322.3,820.9,787.6,935.3
NEUROG1,230.8,156.9,127.2,104.7,113,111.8,122.8,219.4,200.7,140.5
HIRA,128,101.6,87,103.6,86.2,85.3,108.8,107.2,59.7,173
